,scientificName,name
23762,Lanxangia tsaoko,Tsao-ko Cardamom
23763,Lanzarana largeni,Lanza's Frog
23764,Laonastes aenigmamus,Kha-nyou
23765,Lapiedra martinezii,Flor de la Estrella
23766,Laplacea haematoxylon,Bloodwood
23767,Lappanella fasciata,Iris Wrasse
23768,Larimichthys crocea,Large Yellow Croaker
23769,Larimus breviceps,Shorthead Drum
23770,Larimus fasciatus,Banded Drum
23771,Larinopoda lircaea,Cream Pierid Blue
23772,Lariscus hosei,Four-striped Ground Squirrel
23773,Lariscus insignis,Three-striped Ground Squirrel
23774,Lariscus niobe,Niobe Ground Squirrel
23775,Lariscus obscurus,Mentawai Three-striped Squirrel
23776,Larix decidua,European Larch
23777,Larix gmelinii,Dahurian Larch
23778,Larix griffithii,Sikkim Larch
23779,Larix kaempferi,Japanese Larch
23780,Larix laricina,Tamarack
23781,Larix lyallii,Alpine Larch
23782,Larix occidentalis,Western Larch
23783,Larix potaninii,Chinese Larch
23784,Larix sibirica,Siberian Larch
23785,Larosterna inca,Inca Tern
23786,Larus argentatus,European Herring Gull
23787,Larus armenicus,Armenian Gull
23788,Larus atlanticus,Olrog's Gull
23789,Larus atricilla,Laughing Gull
23790,Larus audouinii,Audouin's Gull
23791,Larus belcheri,Belcher's Gull
23792,Larus brunnicephalus,Brown-headed Gull
23793,Larus bulleri,Black-billed Gull
23794,Larus cachinnans,Caspian Gull
23795,Larus californicus,California Gull
23796,Larus canus,Mew Gull
23797,Larus cirrocephalus,Grey-headed Gull
23798,Larus crassirostris,Black-tailed Gull
23799,Larus delawarensis,Ring-billed Gull
23800,Larus dominicanus,Kelp Gull
23801,Larus fuliginosus,Lava Gull
23802,Larus fuscus,Lesser Black-backed Gull
23803,Larus genei,Slender-billed Gull
23804,Larus glaucescens,Glaucous-winged Gull
23805,Larus glaucoides,Iceland Gull
23806,Larus hartlaubii,Hartlaub's Gull
23807,Larus heermanni,Heermann's Gull
23808,Larus hemprichii,Sooty Gull
23809,Larus hyperboreus,Glaucous Gull
23810,Larus ichthyaetus,Pallas's Gull
23811,Larus leucophthalmus,White-eyed Gull
23812,Larus livens,Yellow-footed Gull
23813,Larus maculipennis,Brown-hooded Gull
23814,Larus marinus,Great Black-backed Gull
23815,Larus melanocephalus,Mediterranean Gull
23816,Larus michahellis,Yellow-legged Gull
23817,Larus modestus,Grey Gull
23818,Larus novaehollandiae,Silver Gull
23819,Larus occidentalis,Western Gull
23820,Larus pacificus,Pacific Gull
23821,Larus philadelphia,Bonaparte's Gull
23822,Larus pipixcan,Franklin's Gull
23823,Larus relictus,Relict Gull
23824,Larus ridibundus,Black-headed Gull
23825,Larus schistisagus,Slaty-backed Gull
23826,Larus scoresbii,Dolphin Gull
23827,Larus serranus,Andean Gull
23828,Larus smithsonianus,Arctic Herring Gull
23829,Larutia larutensis,Black Larut Skink
23830,Larutia miodactyla,Single Finger Larut Skink
23831,Larutia penangensis,Penang Island Larut Skink
23832,Larutia puehensis,Berumput Two-toed Skink
23833,Larutia seribuatensis,Two-lined Two-toed Skink
23834,Larutia trifasciata,Three-banded Larut Skink
23835,Larvivora akahige,Japanese Robin
23836,Larvivora brunnea,Indian Blue Robin
23837,Larvivora cyane,Siberian Blue Robin
23838,Larvivora komadori,Ryukyu Robin
23839,Larvivora namiyei,Okinawa Robin
23840,Larvivora ruficeps,Rufous-headed Robin
23841,Larvivora sibilans,Rufous-tailed Robin
23842,Larvivora tanensis,Izu Robin
23843,Laserpitium affine,Similar Laserwort
23844,Laserpitium longiradium,Laserpicio de Sierra Nevada
23845,Lasiancistrus heteracanthus,carachama
23846,Lasimorpha senegalensis,Swamp Arum
23847,Lasiochilus contortus,Short-winged St Helenian Flower Bug
23848,Lasiommata meadewaldoi,Moroccan Wall Brown
23849,Lasiommata paramegaera,Pale Wall Brown
23850,Lasionycteris noctivagans,Silver-haired Bat
23851,Lasiopodomys brandtii,Brandt's Vole
23852,Lasiopodomys fuscus,Smokey Vole
23853,Lasiopodomys mandarinus,Mandarin Vole
23854,Lasiorhinus krefftii,Northern Hairy-nosed Wombat
23855,Lasiorhinus latifrons,Southern Hairy-nosed Wombat
23856,Lasiurus blossevillii,Southern Red Bat
23857,Lasiurus borealis,Eastern Red Bat
23858,Lasiurus cinereus,Hoary Bat
23859,Lasiurus degelidus,Jamaican Red Bat
23860,Lasiurus ega,Southern Yellow Bat
23861,Lasiurus intermedius,Northern Yellow Bat
23862,Lasiurus minor,Minor Red Bat
23863,Lasiurus pfeifferi,Pfeiffer's Red Bat
23864,Lasiurus seminolus,Seminole Bat
23865,Lasiurus varius,Cinnamon Red Bat
23866,Lasiurus xanthinus,Western Yellow Bat
23867,Lasmigona compressa,Creek Heelsplitter
23868,Lasmigona holstonia,Tennessee Heelsplitter
23869,Latastia siebenrocki,Siebenrock's Longtail Lizard
23870,Laterallus albigularis,White-throated Crake
23871,Laterallus exilis,Grey-breasted Crake
23872,Laterallus jamaicensis,Black Rail
23873,Laterallus leucopyrrhus,Red-and-white Crake
23874,Laterallus levraudi,Rusty-flanked Crake
23875,Laterallus melanophaius,Rufous-sided Crake
23876,Laterallus ruber,Ruddy Crake
23877,Laterallus spilonota,Galapagos Rail
23878,Laterallus tuerosi,Junin Rail
23879,Laterallus xenopterus,Rufous-faced Crake
23880,Lates calcarifer,Barramundi
23881,Lates japonicus,Japanese Lates
23882,Lates niloticus,Nile Perch
23883,Lathamus discolor,Swift Parrot
23884,Lathrecista asiatica,Scarlet Grenadier
23885,Lathrocordulia garrisoni,Queensland Swiftwing
23886,Lathrocordulia metallica,Western Swiftwing
23887,Lathrotriccus euleri,Euler's Flycatcher
23888,Lathrotriccus griseipectus,Grey-breasted Flycatcher
23889,Lathyrus angulatus,Angular Pea
23890,Lathyrus annuus,Annual Vetchling
23891,Lathyrus aphaca,Yellow Vetch
23892,Lathyrus bauhinii,Schwertblättrige Platterbse
23893,Lathyrus belinensis,Belin Sweet Pea
23894,Lathyrus blepharicarpus,Vetchling
23895,Lathyrus cassius,Sweet Pea
23896,Lathyrus cicera,Chickling Vetch
23897,Lathyrus cirrhosus,Cirrhose Vetch
23898,Lathyrus clymenum,Spanish vetchling
23899,Lathyrus gorgoni,Rare Pea
23900,Lathyrus grandiflorus,Everlasting-Pea
23901,Lathyrus heterophyllus,Norfolk Everlasting-Pea
23902,Lathyrus hirsutus,Caley Pea
23903,Lathyrus inconspicuus,Solitary-Flowered Pea
23904,Lathyrus incurvus,Sabelvial
23905,Lathyrus japonicus,Beach Pea
23906,Lathyrus latifolius,Broad-Leaf Everlasting Pea
23907,Lathyrus linifolius,Bitter Vetch
23908,Lathyrus magellanicus,Lord Anson's pea
23909,Lathyrus niger,Black Pea
23910,Lathyrus nissolia,Grass Vetchling
23911,Lathyrus ochrus,Cyprus Vetch
23912,Lathyrus odoratus,Sweet Pea
23913,Lathyrus palustris,Marsh Pea
23914,Lathyrus pisiformis,Ärtvial
23915,Lathyrus pratensis,Meadow Vetchling
23916,Lathyrus rotundifolius,Round-Leaf Vetchling
23917,Lathyrus setifolius,Brown Vetchling
23918,Lathyrus sphaericus,Round-Seed Vetchling
23919,Lathyrus sylvestris,Flat Pea
23920,Lathyrus tingitanus,Tangier Pea
23921,Lathyrus tuberosus,Earth Chestnut
23922,Lathyrus venetus,Gesse de Vénétie
23923,Lathyrus vernus,Spring Vetch
23924,Laticilla burnesii,Rufous-vented Grass-babbler
23925,Laticilla cinerascens,Swamp Grass-babbler
23926,Latimeria menadoensis,Sulawesi Coelacanth
23927,Latonia nigriventer,Hula Painted Frog
23928,Latropiscis purpurissatus,Sergeant Baker
23929,Laubuka caeruleostigmata,Flying Minnow
23930,Laubuka dadiburjori,Dadio
23931,Laubuka fasciata,Malabar Hatchet Chela
23932,Laubuka insularis,Sri Lanka Knuckles Labuca
23933,Laubuka lankensis,Sri Lanka Blue Laubuca
23934,Laubuka ruhuna,Sri Lanka Ruhunu Laubuca
23935,Laubuka varuna,Sri Lanka Western Laubuka
23936,Laudakia papenfussi,Papenfuss’ Rock Agama
23937,Laudakia sacra,Anan's Rock Agama
23938,Laudakia wui,Wui’s Rock Agama
23939,Laurus nobilis,Bay Laurel
23940,Lavandula angustifolia,Lavender
23941,Lavandula lanata,Woolly Lavender
23942,Lavandula latifolia,Spike Lavendar
23943,Lavandula maroccana,Khzama
23944,Lavatera oblongifolia,Malva de las Alpujarras
23945,Lavia frons,Yellow-winged Bat
23946,Lavinia exilicauda,Hitch
23947,Lebetus guilleti,Guillet's Goby
23948,Lebetus scorpioides,Diminutive Goby
23949,Lebiasina chucuriensis,sardina
23950,Lechriodus melanopyga,Wokan Cannibal Frog
23951,Lechriodus platyceps,Arfak Cannibal Frog
23952,Lecocarpus darwinii,Cut leaf daisy
23953,Leea tinctoria,Celé-alé
23954,Lefua echigonia,Japanese Eight Barbel Loach
23955,Lefua nikkonis,Ainu Eight Barbeled Loach
23956,Legatus leucophaius,Piratic Flycatcher
23957,Leggadina forresti,Central Short-tailed Mouse
23958,Leggadina lakedownensis,Northern Short-tailed Mouse
23959,Leimacomys buettneri,Groove-toothed Forest Mouse
23960,Leiocephalus barahonensis,Orange-bellied Curlytail
23961,Leiocephalus carinatus,Northern Curly-tailed Lizard
23962,Leiocephalus cubensis,Cuban Curlytail Lizard
23963,Leiocephalus endomychus,Central Haitian Curlytail
23964,Leiocephalus eremitus,Navassa Curlytail Lizard
23965,Leiocephalus greenwayi,East Plana Curlytail 
23966,Leiocephalus herminieri,Martinique Curlytail Lizard
23967,Leiocephalus inaguae,Inauga Curlytail
23968,Leiocephalus loxogrammus,Rum Cay Curlytail
23969,Leiocephalus lunatus,Santo Domingo Curlytail Lizard
23970,Leiocephalus macropus,Monte Verde Curlytail Lizard
23971,Leiocephalus melanochlorus,Tiburon Curlytail
23972,Leiocephalus onaneyi,Sierra Curlytail Lizard
23973,Leiocephalus personatus,Haitian Curlytail Lizard
23974,Leiocephalus pratensis,Atalaye Curlytail Lizard
23975,Leiocephalus psammodromus,Turks and Caicos Curlytail
23976,Leiocephalus punctatus,Crooked-Acklins Curlytail
23977,Leiocephalus raviceps,Mountain Curlytail Lizard
23978,Leiocephalus rhutidira,Lapierre Curlytail Lizard
23979,Leiocephalus schreibersii,Red-sided Curlytail Lizard
23980,Leiocephalus semilineatus,Thomazeau Curlytail Lizard
23981,Leiocephalus stictigaster,Cabo Corrientes Curlytail Lizard
23982,Leiocephalus vinculum,Cochran's Curlytail Lizard
23983,Leiognathus equulus,Common Ponyfish
23984,Leioheterodon madagascariensis,Malagasy Giant Hognose Snake
23985,Leiolepis belliana,Common Butterfly Lizard
23986,Leiolepis boehmei,Böhme’s Butterfly Lizard
23987,Leiolepis guentherpetersi,Peters’ Butterfly Lizard
23988,Leiolepis guttata,Spotted Butterfly Lizard
23989,Leiolepis ngovantrii,Ngo Van Tri’s Lady Butterfly Lizard
23990,Leiolepis peguensis,Burmese Butterfly Lizard
23991,Leiolepis rubritaeniata,Reeves' Butterfly Lizard
23992,Leiolepis triploida,Thai Butterfly Lizard
23993,Leiolopisma alazon,Ono-i-Lau Ground Skink
23994,Leiolopisma ceciliae,Réunion Giant Skink
23995,Leiolopisma telfairii,Telfair's Skink
23996,Leiopelma archeyi,Archey's Frog
23997,Leiopelma hochstetteri,Hochstetter's New Zealand Frog
23998,Leiopelma pakeka,Maud Island Frog
23999,Leiopicus auriceps,Brown-fronted Woodpecker
24000,Leiopicus mahrattensis,Yellow-crowned Woodpecker
24001,Leiopicus medius,Middle Spotted Woodpecker
24002,Leiopotherapon macrolepis,Kimberley Spangled Perch
24003,Leioptila annectens,Rufous-backed Sibia
24004,Leiopython albertisii,Northern White-lipped Python
24005,Leiopython biakensis,Biak White-lipped Python
24006,Leiopython fredparkeri,Karimui Basin White-lipped Python
24007,Leiopython huonensis,Huon Peninsula White-lipped Python
24008,Leiopython meridionalis,Southern White-lipped Python
24009,Leiopython montanus,Wau White-lipped Python
24010,Leiosaurus bellii,Bell's Anole
24011,Leiostomus xanthurus,Spot Croaker
24012,Leiothlypis celata,Orange-crowned Warbler
24013,Leiothlypis crissalis,Colima Warbler
24014,Leiothlypis luciae,Lucy's Warbler
24015,Leiothlypis peregrina,Tennessee Warbler
24016,Leiothlypis ruficapilla,Nashville Warbler
24017,Leiothlypis virginiae,Virginia's Warbler
24018,Leiothrix argentauris,Silver-eared Mesia
24019,Leiothrix laurinae,Sumatran Mesia
24020,Leiothrix lutea,Red-billed Leiothrix
24021,Leipoa ocellata,Malleefowl
24022,Leistes bellicosus,Peruvian Meadowlark
24023,Leistes defilippii,Pampas Meadowlark
24024,Leistes loyca,Long-tailed Meadowlark
24025,Leistes militaris,Red-breasted Blackbird
24026,Leistes superciliaris,White-browed Blackbird
24027,Leitneria floridana,Corkwood
24028,Lejeunea hibernica,Irish Pouncewort
24029,Lejeunea mandonii,Atlantic Pouncewort
24030,Lembotropis nigricans,Black Broom
24031,Lemmus lemmus,Norway Lemming
24032,Lemmus sibiricus,Brown Lemming
24033,Lemna aequinoctialis,Lesser Duckweed
24034,Lemna gibba,Fat Duckweed
24035,Lemna minor,Common Duckweed
24036,Lemniscomys barbarus,Barbary Striped Grass Mouse
24037,Lemniscomys hoogstraali,Hoogstraal's Striped Grass Mouse
24038,Lemniscomys mittendorfi,Mittendorf's Striped Grass Mouse
24039,Lemniscomys roseveari,Rosevear's Striped Grass Mouse
24040,Lemur catta,Ring-tailed Lemur
24041,Lemuropisum edule,Tara
24042,Lenomys meyeri,Meyer’s Lenomys
24043,Lenothrix canus,Sundaic Lenothrix
24044,Lenoxus apicalis,Andean Rat
24045,Lentipes venustus,Venus goby
24046,Leonardina woodi,Bagobo Babbler
24047,Leontocebus cruzlimai,Cruz Lima’s Saddle-back Tamarin
24048,Leontocebus fuscus,Lesson’s Saddle-back Tamarin
24049,Leontocebus illigeri,Illiger’s Saddle-back Tamarin
24050,Leontocebus lagonotus,Red-mantle Saddle-back Tamarin
24051,Leontocebus leucogenys,Andean Saddle-back Tamarin
24052,Leontocebus nigricollis,Black Mantle Tamarin
24053,Leontocebus tripartitus,Golden-mantle Saddleback Tamarin
24054,Leontodon boryi,Leontodon de Bory
24055,Leontodon microcephalus,Leontodon de los Borreguiles
24056,Leontopithecus caissara,Black-faced Lion Tamarin
24057,Leontopithecus chrysomelas,Golden-headed Lion Tamarin
24058,Leontopithecus rosalia,Golden Lion Tamarin
24059,Leontopodium alpinum,Edelweiss
24060,Leontopodium coreanum,Som-da-ri
24061,Leopardus colocolo,Pampas Cat
24062,Leopardus geoffroyi,Geoffroy's Cat
24063,Leopardus guigna,Guiña
24064,Leopardus guttulus,Southern Tiger Cat
24065,Leopardus jacobita,Andean Cat
24066,Leopardus pardalis,Ocelot
24067,Leopardus tigrinus,Northern Tiger Cat
24068,Leopardus wiedii,Margay
24069,Leopoldamys ciliatus,Sundaic Mountain Leopoldamys
24070,Leopoldamys diwangkarai,Diwangkara's Long-tailed Giant Rat
24071,Leopoldamys milleti,Millet’s Leopoldamys
24072,Leopoldamys neilli,Neill’s Leopoldamys
24073,Leopoldamys siporanus,Mentawai Archipelago Leopoldamys
24074,Leopoldia bicolor,Taccel Hyacinth
24075,Lepadichthys bolini,Bolin's Clingfish
24076,Lepadichthys caritus,Pale Clingfish
24077,Lepadichthys lineatus,Doubleline Clingfish
24078,Lepadichthys minor,Dwarf Clingfish
24079,Lepadichthys springeri,Springer's Clingfish
24080,Lepadogaster lepadogaster,Shore Clingfish
24081,Lepadogaster purpurea,Cornish Sucker
24082,Lepidaploa sericea,Escobilla
24083,Lepidion eques,Morid Cod
24084,Lepidion guentheri,Morid Cod
24085,Lepidion lepidion,Mediterranean Codling
24086,Lepidium amissum,Waitakere Scurvy Grass
24087,Lepidium arbuscula,‘anaunau
24088,Lepidium heterophyllum,Smith's Pepperwort
24089,Lepidium serra,'anaunau
24090,Lepidoblennius haplodactylus,Eastern Jumping Blenny
24091,Lepidoblennius marmoratus,Western Jumping Blenny
24092,Lepidoblepharis conolepis,Salamanquesa de Tandapi
24093,Lepidoblepharis montecanoensis,Paraguanan Ground Gecko
24094,Lepidochelys kempii,Kemp's Ridley
24095,Lepidochelys olivacea,Olive Ridley
24096,Lepidochrysops asteris,Brilliant Blue
24097,Lepidochrysops australis,Southern Blue
24098,Lepidochrysops bacchus,Wynland-Ratsbloutjie
24099,Lepidochrysops badhami,Badham's Blue
24100,Lepidochrysops balli,Ball's Blue
24101,Lepidochrysops braueri,Brauer's Blue
24102,Lepidochrysops dukei,Duke's Blue
24103,Lepidochrysops grahami,Graham's Blue
24104,Lepidochrysops hypopolia,Morant's Blue
24105,Lepidochrysops ignota,Zulu Blue
24106,Lepidochrysops jefferyi,Jeffery's Blue
24107,Lepidochrysops kitale,Kitale Giant Cupid
24108,Lepidochrysops lerothodi,Lesotho Blue
24109,Lepidochrysops letsea,Free State Blue
24110,Lepidochrysops littoralis,Coastal Blue
24111,Lepidochrysops loewensteini,Loewenstein's Blue
24112,Lepidochrysops lotana,Lotana Blue
24113,Lepidochrysops oosthuizeni,Oosthuizen's Blue
24114,Lepidochrysops ortygia,Koppie Blue
24115,Lepidochrysops outeniqua,Outeniqua Blue
24116,Lepidochrysops penningtoni,Pennington’s Blue
24117,Lepidochrysops pephredo,Estcourt Blue
24118,Lepidochrysops poseidon,Baviaanskloof Blue
24119,Lepidochrysops pringlei,Pringle's Blue
24120,Lepidochrysops puncticilia,Mouse Blue
24121,Lepidochrysops quickelbergei,Quickelberge’s Blue
24122,Lepidochrysops robertsoni,Robertson's Blue
24123,Lepidochrysops rossouwi,Rossouw's Blue
24124,Lepidochrysops southeyae,Southey's Blue
24125,Lepidochrysops swanepoeli,Swanepoel's Blue
24126,Lepidochrysops swartbergensis,Swartberg Blue
24127,Lepidochrysops tantalus,King Blue
24128,Lepidochrysops titei,Tite's Blue
24129,Lepidochrysops trimeni,Trimen's Blue
24130,Lepidochrysops vansoni,Van Son's Blue
24131,Lepidochrysops variabilis,Variable Blue
24132,Lepidochrysops victori,Victor's Blue
24133,Lepidochrysops wykehami,Wykeham's Blue
24134,Lepidocolaptes affinis,Northern Spot-crowned Woodcreeper
24135,Lepidocolaptes albolineatus,Lineated Woodcreeper
24136,Lepidocolaptes angustirostris,Narrow-billed Woodcreeper
24137,Lepidocolaptes duidae,Duida Woodcreeper
24138,Lepidocolaptes falcinellus,Scalloped Woodcreeper
24139,Lepidocolaptes fatimalimae,Inambari Woodcreeper
24140,Lepidocolaptes fuscicapillus,Dusky-capped Woodcreeper
24141,Lepidocolaptes lacrymiger,Montane Woodcreeper
24142,Lepidocolaptes leucogaster,White-striped Woodcreeper
24143,Lepidocolaptes neglectus,Southern Spot-crowned Woodcreeper
24144,Lepidocolaptes souleyetii,Streak-headed Woodcreeper
24145,Lepidocolaptes squamatus,Scaled Woodcreeper
24146,Lepidocybium flavobrunneum,Escolar
24147,Lepidodactylus euaensis,'Eua Forest Gecko
24148,Lepidodactylus flaviocularis,Yellow-eyed Gecko
24149,Lepidodactylus gardineri,Rotuma Forest Gecko
24150,Lepidodactylus guppyi,Guppy's gecko
24151,Lepidodactylus labialis,Mindanao False Gecko
24152,Lepidodactylus listeri,Christmas Island Chained Gecko
24153,Lepidodactylus magnus,Mountain Scaly-toed Gecko
24154,Lepidodactylus manni,Viti Forest Gecko
24155,Lepidodactylus novaeguineae,New Guinea Scaly-toed Gecko
24156,Lepidodactylus oligoporus,Mortlock Islands Scaly-toed Gecko
24157,Lepidodactylus orientalis,Oriental Scaly-toed Gecko
24158,Lepidodactylus pulcher,Admiralty Gecko
24159,Lepidodactylus pumilus,Slender Chained Gecko
24160,Lepidodactylus ranauensis,Sabah Scaly-toed Gecko
24161,Lepidodactylus shebae,Guadalcanal Scaly-toed Gecko
24162,Lepidogalaxias salamandroides,Salmanderfish
24163,Lepidogrammus cumingi,Scale-feathered Malkoha
24164,Lepidomeda albivallis,White River Spinedace
24165,Lepidomeda aliciae,Southern Leatherside Chub
24166,Lepidomeda copei,Northern Leatherside Chub
24167,Lepidomeda vittata,Little Colorado Spinedace
24168,Lepidoperca filamenta,Western Orange Perch
24169,Lepidophyma chicoasensis,Sumidero Tropical Night Lizard
24170,Lepidophyma dontomasi,MacDougall's Tropical Night Lizard
24171,Lepidophyma flavimaculatum,Yellow-spotted Night Lizard
24172,Lepidophyma gaigeae,Gaige's Tropical Night Lizard
24173,Lepidophyma lineri,Liner’s Tropical Night Lizard
24174,Lepidophyma lipetzi,Lipetz's Tropical Night Lizard
24175,Lepidophyma lowei,Lowe’s Tropical Night Lizard
24176,Lepidophyma mayae,Mayan Tropical Night Lizard
24177,Lepidophyma micropholis,Cave Tropical Night Lizard
24178,Lepidophyma occulor,Japlan Tropical Night Lizard
24179,Lepidophyma pajapanensis,Pajapan Tropical Night Lizard
24180,Lepidophyma radula,Yautepec Tropical Night Lizard
24181,Lepidophyma reticulatum,Costa Rican Tropical Night Lizard
24182,Lepidophyma smithii,Smith's Tropical Night Lizard
24183,Lepidophyma sylvaticum,Madrean Tropical Night Lizard
24184,Lepidophyma tarascae,Tarascan Tropical Night Lizard
24185,Lepidophyma tuxtlae,Tuxtla Tropical Night Lizard
24186,Lepidopus altifrons,Crested Scabbardfish
24187,Lepidopus caudatus,Silver Scabbardfish
24188,Lepidopyga coeruleogularis,Sapphire-throated Hummingbird
24189,Lepidopyga goudoti,Shining-green Hummingbird
24190,Lepidopyga lilliae,Sapphire-bellied Hummingbird
24191,Lepidopygia nana,Madagascar Munia
24192,Lepidopygopsis typus,Peninsular Hill Trout
24193,Lepidothamnus fonkii,Chilean Rimu
24194,Lepidothamnus intermedius,Yellow Silver Pine
24195,Lepidothamnus laxifolius,Pygmy Pine
24196,Lepidothrix coeruleocapilla,Cerulean-capped Manakin
24197,Lepidothrix coronata,Blue-crowned Manakin
24198,Lepidothrix iris,Opal-crowned Manakin
24199,Lepidothrix isidorei,Blue-rumped Manakin
24200,Lepidothrix nattereri,Snow-capped Manakin
24201,Lepidothrix serena,White-fronted Manakin
24202,Lepidothrix suavissima,Orange-bellied Manakin
24203,Lepidothrix vilasboasi,Golden-crowned Manakin
24204,Lepidotrigla bentuviai,Twohorn gurnard
24205,Lepidotrigla bispinosa,Bullhorn Gurnard
24206,Lepidotrigla cadmani,Scalebreast Gurnard
24207,Lepidotrigla carolae,Carol’s Gurnard
24208,Lepidotrigla deasoni,Deason's Sea Robin
24209,Lepidotrigla dieuzeidei,Spiny Gurnard
24210,Lepidotrigla eydouxii,Eygoux's Sea Robin
24211,Lepidotrigla faurei,Scalybreast Gurnard
24212,Lepidotrigla kishinouyi,Devil Searobin
24213,Lepidotrigla macrobrachia,Long Arm Sea Robin
24214,Lepidotrigla multispinosa,Indian Ocean spiny gurnard
24215,Lepidotrigla omanensis,Oman Gurnard
24216,Lepidotrigla pectoralis,Long Pectoral Sea Robin
24217,Lepidotrigla spiloptera,Spotwing gurnard
24218,Lepidozamia hopei,Julbin
24219,Lepilaena australis,Species code: La
24220,Lepilaena marina,Species code: Lm
24221,Lepilemur aeeclis,Antafia Sportive Lemur
24222,Lepilemur ahmansonori,Ahmanson’s Sportive Lemur
24223,Lepilemur ankaranensis,Ankarana Sportive Lemur
24224,Lepilemur betsileo,Betsileo Sportive Lemur
24225,Lepilemur dorsalis,Gray’s Sportive Lemur
24226,Lepilemur edwardsi,Milne-Edwards's Sportive Lemur
24227,Lepilemur fleuretae,Fleurete's Sportive Lemur
24228,Lepilemur grewcockorum,Grewcock's Sportive Lemur
24229,Lepilemur hollandorum,Holland's Sportive Lemur
24230,Lepilemur hubbardorum,Hubbard's Sportive Lemur
24231,Lepilemur jamesorum,James' Sportive Lemur
24232,Lepilemur leucopus,White-footed Sportive Lemur
24233,Lepilemur microdon,Small-toothed Sportive Lemur
24234,Lepilemur milanoii,Daraina Sportive Lemur
24235,Lepilemur mittermeieri,Mittermeier's Sportive Lemur
24236,Lepilemur mustelinus,Weasel Sportive Lemur
24237,Lepilemur otto,Otto's Sportive Lemur
24238,Lepilemur petteri,Petter's Sportive Lemur
24239,Lepilemur randrianasoloi,Randrianasolo's Sportive Lemur
24240,Lepilemur ruficaudatus,Red-tailed Sportive Lemur
24241,Lepilemur sahamalaza,Sahamalaza Sportive Lemur
24242,Lepilemur scottorum,Scott's Sportive Lemur
24243,Lepilemur seali,Seal's Sportive Lemur
24244,Lepilemur septentrionalis,Sahafary Sportive Lemur
24245,Lepilemur tymerlachsoni,Nosy Be Sportive Lemur
24246,Lepilemur wrightae,Wright's Sportive Lemur
24247,Lepiota brunneolilacea,Star Dapperling
24248,Lepiota luteophylla,Yellow-gilled Lepiota
24249,Lepismium houlletianum,Rabo de arara
24250,Lepisosteus oculatus,Spotted Gar
24251,Lepisosteus osseus,Longnose Gar
24252,Lepisosteus platostomus,Shortnose Gar
24253,Lepisosteus platyrhincus,Florida Gar
24254,Lepocranus fuscus,Leatherback Pygmy Grasshopper
24255,Lepomis auritus,Redbreast Sunfish
24256,Lepomis cyanellus,Green Sunfish
24257,Lepomis gibbosus,Pumpkinseed
24258,Lepomis gulosus,Warmouth
24259,Lepomis humilis,Orangespotted Sunfish
24260,Lepomis macrochirus,Bluegill Sunfish
24261,Lepomis marginatus,Dollar Sunfish
24262,Lepomis megalotis,Longear Sunfish
24263,Lepomis microlophus,Redear Sunfish
24264,Lepomis miniatus,Redspotted Sunfish
24265,Lepomis punctatus,Spotted Sunfish
24266,Lepomis symmetricus,Bantam Sunfish
24267,Lepophidium aporrhox,Dusky Cusk Eel
24268,Lepophidium brevibarbe,Shortbeard Cusk-Eel
24269,Lepophidium collettei,Brazilian Cusk-Eel
24270,Lepophidium crossotum,Whitespot Cusk-Eel
24271,Lepophidium cultratum,Blackear Cusk-Eel
24272,Lepophidium entomelan,Blackthroat Cusk-Eel
24273,Lepophidium gilmorei,Pepperfin Cusk-Eel
24274,Lepophidium hubbsi,Panamic Cusk-eel
24275,Lepophidium inca,Incan Cusk-eel
24276,Lepophidium jeannae,Mottled Cusk-Eel
24277,Lepophidium kallion,Palenose Cusk-Eel
24278,Lepophidium marmoratum,Marbled Cusk-Eel
24279,Lepophidium pheromystax,Upsilon Cusk-Eel
24280,Lepophidium profundorum,Fawn Cusk-Eel
24281,Lepophidium robustum,Robust Cusk-Eel
24282,Lepophidium staurophor,Barred Cusk-Eel
24283,Lepophidium wileyi,Fringed Cusk-Eel
24284,Lepophidium zophochir,Sooty Cusk-Eel
24285,Leporillus apicalis,Lesser Stick-nest Rat
24286,Leporillus conditor,Greater Stick-nest Rat
24287,Leporinus holostictus,lisa
24288,Leporinus muyscorum,Comelón
24289,Leporinus pearsoni,lisa
24290,Leporinus wolfei,lisa
24291,Leporinus y-ophorus,lisa
24292,Leposoma scincoides,Skink Tegu
24293,Leposternon microcephalum,Smallhead Worm Lizard
24294,Leposternon polystegum,Bahia Worm Lizard
24295,Leposternon scutigerum,Shielded Worm Lizard
24296,Leptailurus serval,Serval
24297,Leptasthenura aegithaloides,Plain-mantled Tit-spinetail
24298,Leptasthenura andicola,Andean Tit-spinetail
24299,Leptasthenura berlepschi,Buffy Tit-spinetail
24300,Leptasthenura fuliginiceps,Brown-capped Tit-spinetail
24301,Leptasthenura pallida,Pallid Tit-spinetail
24302,Leptasthenura pileata,Rusty-crowned Tit-spinetail
24303,Leptasthenura platensis,Tufted Tit-spinetail
24304,Leptasthenura setaria,Araucaria Tit-spinetail
24305,Leptasthenura striata,Streaked Tit-spinetail
24306,Leptasthenura striolata,Striolated Tit-spinetail
24307,Leptasthenura xenothorax,White-browed Tit-spinetail
24308,Leptaulopus damasi,Esodamashi
24309,Leptaulopus erythrozonatus,Duckbill Flagfin
24310,Leptaulus citrioides,Ramirefotra
